id_lote,diagnosis_code,interpretation_short,management_recommendation,anomaly_class,anomaly_flags,dominant_subzone
A1,CAB_MEDIO|N_MEDIO|H2O_ALTO|EFF_MEDIO|BIO_ALTO|STR_MEDIO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A2,CAB_BAJO|N_MEDIO|H2O_MEDIO|EFF_MEDIO|BIO_MEDIO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Critica
A3,CAB_ALTO|N_ALTO|H2O_MEDIO|EFF_ALTO|BIO_MEDIO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa,mantener seguimiento y usar como referencia fisiologica,ATIPICO,sin_alerta_mayor,Alta
A4,CAB_MEDIO|N_MEDIO|H2O_ALTO|EFF_MEDIO|BIO_ALTO|STR_MEDIO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A5,CAB_MEDIO|N_MEDIO|H2O_ALTO|EFF_ALTO|BIO_ALTO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa,mantener seguimiento y usar como referencia fisiologica,ATIPICO,sin_alerta_mayor,Transicion
A6,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_ALTO|BIO_ALTO|STR_BAJO,canopeo vigoroso y bien abastecido; mayor presion carotenoide o senescencia relativa,mantener seguimiento y usar como referencia fisiologica,NORMAL,funcion_alta,Alta
A7,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_MEDIO|STR_BAJO,canopeo vigoroso y bien abastecido; mayor presion carotenoide o senescencia relativa,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A8,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_BAJO|BIO_ALTO|STR_ALTO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A9,CAB_MEDIO|N_MEDIO|H2O_ALTO|EFF_BAJO|BIO_ALTO|STR_ALTO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A10,CAB_ALTO|N_ALTO|H2O_MEDIO|EFF_ALTO|BIO_MEDIO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa,mantener seguimiento y usar como referencia fisiologica,ATIPICO,funcion_alta,Transicion
A11,CAB_MEDIO|N_BAJO|H2O_MEDIO|EFF_MEDIO|BIO_ALTO|STR_ALTO,estado fisiologico intermedio; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Critica
A12,CAB_BAJO|N_BAJO|H2O_ALTO|EFF_ALTO|BIO_ALTO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,NORMAL,sin_alerta_mayor,Transicion
A13,CAB_BAJO|N_BAJO|H2O_MEDIO|EFF_MEDIO|BIO_MEDIO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,heterogeneidad_alta,Transicion
A14,CAB_MEDIO|N_BAJO|H2O_BAJO|EFF_BAJO|BIO_ALTO|STR_ALTO,estado fisiologico intermedio; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Transicion
A15,CAB_BAJO|N_BAJO|H2O_MEDIO|EFF_BAJO|BIO_ALTO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Critica
A16,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,subzona_critica_extensa,Critica
A17,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_BAJO|BIO_BAJO|STR_ALTO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A18,CAB_MEDIO|N_MEDIO|H2O_BAJO|EFF_MEDIO|BIO_BAJO|STR_MEDIO,estado fisiologico intermedio; heterogeneidad interna relevante,revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,MUY_ATIPICO,heterogeneidad_alta,Transicion
A19,CAB_MEDIO|N_MEDIO|H2O_BAJO|EFF_MEDIO|BIO_BAJO|STR_MEDIO,estado fisiologico intermedio; heterogeneidad interna relevante,revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Transicion
A20,CAB_ALTO|N_ALTO|H2O_MEDIO|EFF_ALTO|BIO_MEDIO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,manejo variable intra-lote,MUY_ATIPICO,"funcion_alta, heterogeneidad_alta",Alta
A21,CAB_ALTO|N_ALTO|H2O_MEDIO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,estado fisiologico intermedio,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A22,CAB_MEDIO|N_ALTO|H2O_BAJO|EFF_ALTO|BIO_MEDIO|STR_MEDIO,estado fisiologico intermedio; heterogeneidad interna relevante,revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,MUY_ATIPICO,"agua_baja, funcion_alta, heterogeneidad_alta",Alta
A23,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_ALTO|BIO_ALTO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,ATIPICO,sin_alerta_mayor,Alta
A24,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_ALTO|BIO_ALTO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,manejo variable intra-lote,NORMAL,sin_alerta_mayor,Critica
A25,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_ALTO|BIO_MEDIO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,manejo variable intra-lote,NORMAL,incertidumbre_alta,Transicion
A26,CAB_BAJO|N_BAJO|H2O_MEDIO|EFF_MEDIO|BIO_ALTO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,incertidumbre_alta,Critica
A27,CAB_BAJO|N_BAJO|H2O_MEDIO|EFF_ALTO|BIO_MEDIO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,NORMAL,incertidumbre_alta,Critica
A28,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_MEDIO|BIO_ALTO|STR_MEDIO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,mantener seguimiento y usar como referencia fisiologica,NORMAL,incertidumbre_alta,Transicion
A29,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_MEDIO|BIO_ALTO|STR_MEDIO,estado fisiologico intermedio; heterogeneidad interna relevante; senal espectral estable,manejo variable intra-lote,NORMAL,sin_alerta_mayor,Transicion
A30,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_BAJO|BIO_ALTO|STR_MEDIO,estado fisiologico intermedio; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,manejo variable intra-lote,NORMAL,sin_alerta_mayor,Transicion
A31,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A32,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_BAJO|STR_MEDIO,canopeo vigoroso y bien abastecido; heterogeneidad interna relevante,manejo variable intra-lote,NORMAL,sin_alerta_mayor,Alta
A33,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,canopeo vigoroso y bien abastecido; heterogeneidad interna relevante,manejo variable intra-lote,ATIPICO,sin_alerta_mayor,Alta
A34,CAB_ALTO|N_ALTO|H2O_MEDIO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,estado fisiologico intermedio; heterogeneidad interna relevante,manejo variable intra-lote,NORMAL,heterogeneidad_alta,Alta
A35,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_ALTO|STR_MEDIO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta",Critica
A36,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_MEDIO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta",Critica
A37,CAB_MEDIO|N_MEDIO|H2O_ALTO|EFF_MEDIO|BIO_ALTO|STR_MEDIO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A38,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_ALTO|BIO_ALTO|STR_MEDIO,canopeo vigoroso y bien abastecido; heterogeneidad interna relevante,manejo variable intra-lote,ATIPICO,"funcion_alta, heterogeneidad_alta",Transicion
A39,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa",Critica
A40,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_ALTO|STR_MEDIO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta",Critica
A41,CAB_ALTO|N_ALTO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,estado fisiologico intermedio; heterogeneidad interna relevante,revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Transicion
A42,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta",Critica
A43,CAB_MEDIO|N_MEDIO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,estado fisiologico intermedio; heterogeneidad interna relevante,revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,agua_baja,Critica
A44,CAB_MEDIO|N_MEDIO|H2O_BAJO|EFF_BAJO|BIO_MEDIO|STR_ALTO,estado fisiologico intermedio; heterogeneidad interna relevante,revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,agua_baja,Transicion
A45,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_BAJO|BIO_BAJO|STR_ALTO,canopeo vigoroso y bien abastecido; heterogeneidad interna relevante,manejo variable intra-lote,ATIPICO,sin_alerta_mayor,Alta
A46,CAB_MEDIO|N_MEDIO|H2O_ALTO|EFF_BAJO|BIO_ALTO|STR_ALTO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A47,CAB_BAJO|N_BAJO|H2O_MEDIO|EFF_BAJO|BIO_MEDIO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Critica
A48,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,"clorofila_muy_baja, N_bajo, agua_baja, subzona_critica_extensa",Critica
A49,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,N_bajo,Critica
A50,CAB_MEDIO|N_MEDIO|H2O_BAJO|EFF_BAJO|BIO_MEDIO|STR_ALTO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico,revisar condicion hidrica y cierre estomatico,NORMAL,sin_alerta_mayor,Transicion
A51,CAB_ALTO|N_MEDIO|H2O_MEDIO|EFF_BAJO|BIO_MEDIO|STR_ALTO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A52,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_BAJO|BIO_BAJO|STR_ALTO,estado fisiologico intermedio; heterogeneidad interna relevante,manejo variable intra-lote,NORMAL,sin_alerta_mayor,Transicion
A53,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_BAJO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A54,CAB_MEDIO|N_MEDIO|H2O_MEDIO|EFF_BAJO|BIO_BAJO|STR_ALTO,estado fisiologico intermedio; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Transicion
A55,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_ALTO|BIO_MEDIO|STR_BAJO,canopeo vigoroso y bien abastecido; mayor presion carotenoide o senescencia relativa,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A56,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,ATIPICO,sin_alerta_mayor,Alta
A57,CAB_ALTO|N_ALTO|H2O_BAJO|EFF_MEDIO|BIO_MEDIO|STR_MEDIO,estado fisiologico intermedio,revisar condicion hidrica y cierre estomatico,NORMAL,agua_baja,Transicion
A58,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_MEDIO|BIO_BAJO|STR_MEDIO,canopeo vigoroso y bien abastecido,mantener seguimiento y usar como referencia fisiologica,NORMAL,sin_alerta_mayor,Alta
A59,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, agua_baja, funcion_alta, heterogeneidad_alta",Critica
A60,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_ALTO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,NORMAL,"N_bajo, subzona_critica_extensa, incertidumbre_alta",Critica
A61,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, subzona_critica_extensa",Critica
A62,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa",Critica
A63,CAB_BAJO|N_MEDIO|H2O_ALTO|EFF_MEDIO|BIO_BAJO|STR_BAJO,estado fisiologico intermedio; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante; red-edge robusto compatible con alto contenido clorofilico; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; manejo variable intra-lote,NORMAL,incertidumbre_alta,Critica
A64,CAB_ALTO|N_ALTO|H2O_ALTO|EFF_BAJO|BIO_MEDIO|STR_ALTO,canopeo vigoroso y bien abastecido; heterogeneidad interna relevante,manejo variable intra-lote,ATIPICO,sin_alerta_mayor,Alta
A65,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_ALTO|BIO_BAJO|STR_BAJO,deficit pigmentario y nutricional relativo; mayor presion carotenoide o senescencia relativa; heterogeneidad interna relevante,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote; confirmar si el lote esta en estadio fenologico mas temprano,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa",Critica
A66,CAB_BAJO|N_BAJO|H2O_BAJO|EFF_BAJO|BIO_BAJO|STR_ALTO,deficit pigmentario y nutricional relativo; heterogeneidad interna relevante; senal espectral estable,priorizar muestreo foliar y diagnostico nutricional; revisar condicion hidrica y cierre estomatico; manejo variable intra-lote,NORMAL,sin_alerta_mayor,Critica
